File_Name,Description,Provided_CMMC_Mappings,Suggested_CMMC_Mappings,Current_Sharepoint_Link,New_Sharepoint_Link,TODOs
2025 Building Information and Policy.pdf,Badges are required to gain entrance into garage| main building| turnstiles and office space. Badges are to be visible at all times while on campus. Visitor badges are issued by the Security Guard. Temporary badges do not work on the exterior lobby doors or the garage gates.,,3.10.3,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
2025 Corporate (Houston Offices) EPR Plan.docx,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
Building Security.pdf,Security cameras are monitored. Any employees without a badge are escorted to offices.,,3.10.1;3.10.2;3.10.3,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=Building%20Security%2Epdf&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2FBuilding%20Security%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
FAC-ATT-00005 rev 0 _ Visitor Log.docx,First Name| Last Name| Company Name| Visitor Hosts| Check-in Date| Check-out Date | Check-in Time| Checkout Time,,3.10.4,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BA4C6E5E4-50EA-40B7-BD6A-7529BD04A6E2%7D&file=FAC-ATT-00005%20rev%200%20_%20Visitor%20Log.docx&action=default&mobileredirect=true,,
Physical_Access_Control_Policy.docx,Policies for CUI and AWL office spaces that include destruction of physical CUI copies.,,3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B41E02918-1389-4E48-B7C1-5961BD46B3D6%7D&file=Physical_Access_Control_Policy.docx&action=default&mobileredirect=true&DefaultItemOpen=1,,TODO: RMF
3_8_1 and 3_8_2 Physical Control and Security Evidence.png,Server rooms are controlled with physical access control requirements. IGNORE THIS EVIDENCE,3.8.1;3.8.2,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F3%5F8%5F1%20and%203%5F8%5F2%20Physical%20Control%20and%20Security%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security,,This will be superseded by the Physical Access Control Policy.docx with respect to AWS. TODO: RMF Policies for USB Handling
3_8_5 CUI Transport Evidence.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F3%5F8%5F5%20CUI%20Transport%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security,,This will be superseded by the Physical Access Control Policy.docx with respect to AWD. TODO: RMF Policies for USB Handling
Physical Security Rubric.docx,FAR 52.205-25 compliant access locks| keys| doors | video| network equipment,,3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B661C7868-A967-4FE7-A722-0431D3B192AF%7D&file=Physical%20Security%20Rubric.docx&action=default&mobileredirect=true,,Confirm scalar
evidence-3.8.3_CUIDestruction.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E3%2Fevidence%2D3%2E8%2E3%5FCUIDestruction%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E3,,Superseded by Physical_Access_Control_Policy.docx which cites CUI destruction
evidence-3.8.7_AdminAcct1.jpg,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7%2Fevidence%2D3%2E8%2E7%5FAdminAcct1%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7,,Mappings are incorrect. TODO: Confirm Digicert SSL usage internally
