<p>All</p>
"File_Name","Description","Provided_CMMC_Mappings","Suggested_CMMC_Mappings","Current_Sharepoint_Link","New_Sharepoint_Link","TODOs"
"2025 Building Information and Policy.pdf","Badges are required to gain entrance into garage, main building, turnstiles and office space. Badges are to be visible at all times while on campus. Visitor badges are issued by the Security Guard. Temporary badges do not work on the exterior lobby doors or the garage gates.",,"3.10.3","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7"
"2025 Corporate (Houston Offices) EPR Plan.docx","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7"
"Building Security.pdf","Security cameras are monitored. Any employees without a badge are escorted to offices.",,"3.10.1;3.10.2;3.10.3","https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=Building%20Security%2Epdf&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2FBuilding%20Security%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7"
"FAC-ATT-00005 rev 0 _ Visitor Log.docx","First Name| Last Name| Company Name| Visitor Hosts| Check-in Date| Check-out Date | Check-in Time| Checkout Time",,"3.10.4;3.7.6","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BA4C6E5E4-50EA-40B7-BD6A-7529BD04A6E2%7D&file=FAC-ATT-00005%20rev%200%20_%20Visitor%20Log.docx&action=default&mobileredirect=true"
"Physical_Access_Control_Policy.docx","Policies for CUI and AWL office spaces that include destruction of physical CUI copies.",,"3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B41E02918-1389-4E48-B7C1-5961BD46B3D6%7D&file=Physical_Access_Control_Policy.docx&action=default&mobileredirect=true&DefaultItemOpen=1",,"TODO: RMF"
"Physical Security Rubric.docx","FAR 52.205-25 compliant access locks| keys| doors | video| network equipment",,"3.7.3;3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B661C7868-A967-4FE7-A722-0431D3B192AF%7D&file=Physical%20Security%20Rubric.docx&action=default&mobileredirect=true",,"Confirm scalar"
"ABS Visitor Badges.doc","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20Visitor%20Badges.doc?d=w49d7610fdf4849358c759e80042f3916&csf=1&web=1&e=aSx4MJ"
"Washington, DC Office Visitor Log 2025.docx","Logging records for visitor access",,"3.10.1","https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/Washington,%20DC%20Office%20Visitor%20Log%202025.docx?d=w5818b3e3835b4d8c9204036ac199a57d&csf=1&web=1&e=yiHQr5"
"GEX-PRO-00058, Consultation and Participation, R1 (8).docx","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/GEX-PRO-00058,%20Consultation%20and%20Participation,%20R1%20%20(8).docx?d=we7f72880b39d4aea9cd66f12beb4da5f&csf=1&web=1&e=9cPBHP"
"ABS and Affiliated Companies Visitor Guide_Print Both sides on Short End.pdf","IGNORE THIS EVIDENCE",,,"https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20and%20Affiliated%20Companies%20Visitor%20Guide_Print%20Both%20sides%20on%20Short%20End.docx?d=w5877db2c3e334f7a82bf04538bb15e0a&csf=1&web=1&e=pTblNp"
