CMMC_ID,Control,Score,AR_CAP_POAM,Policy_Statement,Azure_Mechanism,Azure_Configuration_Process,Azure_Evidence,AVD_Laptop,AVD_Laptop_Evidence,Evidence_Strings
3.1.1,Limit system access to authorized users| processes acting on behalf of authorized users| and devices (including other systems).,5,0,header;bullet_1;bullet_2,"EntraID| RBAC Form| Onboarding Scripts| Client master user list| Client master account list; EntraID| Ticketing System; Device Inventory in Defender; Conditional Access Policy Configuration| EntraID| Lighthouse| Delegated Access; Conditional Access Policy Configuration| EntraID| Lighthouse; Conditional Access Policy (""Win10 Cloud Apps Allow"")| Delegated Access.",During MSP onboarding| S7 configures S7 admin user groups and admin accounts according to RBAC Form| with client approval. S7 configures user accounts| admin accounts| and user groups according to customer specification.; S7 creates service accounts as needed. Before creating a given service account| S7 consults w/ client for approval via Service Desk Ticket. Service Desk Ticket serves as documentation on account and evidence of approval for account.; S7 maintains device list in Defender. S7 submits ticket to client for approval via Service Desk Ticket. Service Desk Ticket serves as evidence of approval process.; S7 configures Conditional Access Policies in EntraID and Lighthouse to enforce the approved access identified in 3.1.1[a].; S7 configures Conditional Access Policies in EntraID and Lighthouse to enforce the approved access identified in 3.1.1[b].; S7 configures Conditional Access Policies in EntraID| InTune to ensure that only approved devices are permitted access to the network.  S7 configures Delegated Access to allow S7 SOC Analyst systems appropriate access when Vigilance is purchased.,,Mechanisms exist to facilitate the implementation of personnel security controls.; Mechanisms exist to proactively govern account management of individual| group| system| service| application| guest and temporary accounts.; Mechanisms exist to review all system accounts and disable any account that cannot be associated with a business process and owner. ; Mechanisms exist to utilize a formal user registration and de-registration process that governs the assignment of access rights. ; Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Automated mechanisms exist to disable inactive accounts after an organization-defined time period. ; Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to periodically-review the privileges assigned to individuals and service accounts to validate the need for such privileges and reassign or remove unnecessary privileges| as necessary.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ; Mechanisms exist to adjust logical and physical access authorizations to systems and facilities upon personnel reassignment or transfer| in a timely manner.; Mechanisms exist to govern the termination of individual employment.; Mechanisms exist to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities.; Mechanisms exist to establish usage restrictions and implementation guidance for communications technologies based on the potential to cause damage to systems| if used maliciously. ; Mechanisms exist to require all employees and contractors to apply cybersecurity & data privacy principles in their daily work.,,
3.1.2,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,5,0,,RBAC Form| EntraID| PIM,S7 provides the RBAC Form for client approval. Client responsible for reviewing and approving changes proposed. RBAC Form standard configuration implemented via script. S7 Implements Privileged Identity Management (PIM) functionality in EntraID to limit access to least necessary permissions in real-time. S7 will configure client permissions on client system according to client's request.; S7 configures systems to provide access based on roles as described above.,,Mechanisms exist to proactively govern account management of individual| group| system| service| application| guest and temporary accounts.; Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to configure systems| applications and processes to restrict access to sensitive/regulated data.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.,,
3.1.3,Control the flow of CUI in accordance with approved authorizations.,1,POA&M,,Work Package Specific - in O365 Configuration Doc. MPIP Labeling Policy| DLP rules.; EntraID| MPIP| DLP (when applicable)| O365 configurations| InTune,"Summit 7 recommends a standard set of flow control mechanisms based on the Work Package involved. S7 will also consult with the customer on the enforcement mechanisms available within the customer's work package and support services for information flow control. Mechanisms are established via work package build and are managed within the bounds of the managed service agreements.; S7 provides information on connections between GCC High and Client local environments (incl. devices)| authorized accounts.; Summit 7 enforces information flow control through AAD| MPIP| DLP| O365 configurations| and Intune. DLP is configured only upon customer request.
*Note: This service package recognizes limitations with regard to Data Flow Control capabilities. More robust capabilities are available in other Guardian packages.*",,Mechanisms exist to implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly restrict network traffic to only what is authorized.; Mechanisms exist to authorize connections from systems to other systems using Interconnection Security Agreements (ISAs)| or similar methods| that document| for each interconnection| the interface characteristics| cybersecurity & data privacy requirements and the nature of the information communicated.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ; Mechanisms exist to control and restrict access to digital and non-digital media to authorized individuals. ; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.,,
3.1.4,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,1,POA&M,,RBAC Form| EntraID| PIM| Inventory of PIM roles; EntraID,S7 provides customer with RBAC form which identifies how privileges associated with duties that require separation are provisioned. Client approves RBAC form. S7 configures system access according to RBAC form| in a manner compliance with Separation of Duties. Client identifies appropriate access for client employee accounts and provides this information to S7. S7 configures system access according to client specifications.; Summit 7 will use EntraID to provision accounts with the defined transactions and functions available to the appropriate users or roles.,,Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to implement and maintain Separation of Duties (SoD) to prevent potential inappropriate activity without collusion.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ; Mechanisms exist to explicitly define authorizations for specific individuals and/or roles for logical and /or physical access to sensitive/regulated data.,,
3.1.5,Employ the principle of least privilege| including for specific security functions and privileged accounts.,3,0,,RBAC Form| EntraID| PIM| Inventory of PIM roles,S7 provides customer with RBAC form which identifies which roles are granted privileged and security functions. Client approves RBAC form. S7 configures system access according to RBAC form| in a manner compliant with least privilege considerations. Client identifies what access is considered privileged and/or security-related and which employees should have it provisioned. Client provides this information to S7. S7 configures system access according to client specifications.,,Mechanisms exist to proactively govern account management of individual| group| system| service| application| guest and temporary accounts.; Mechanisms exist to review all system accounts and disable any account that cannot be associated with a business process and owner. ; Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to periodically-review the privileges assigned to individuals and service accounts to validate the need for such privileges and reassign or remove unnecessary privileges| as necessary.; Mechanisms exist to limit access to sensitive/regulated data to only those individuals whose job requires such access. ,,
3.1.6,Use non-privileged accounts or roles when accessing nonsecurity functions.,1,0,,None (policy control); RBAC Form| EntraID| S7 Policy| Client Policy,S7 policy specifies how S7 defines non-security functions for S7 personnel and associated permissions provisioning.; S7 provisions accounts for privileged use within the customer's environment according to the RBAC Form. Client is responsible for reviewing and approving the RBAC form. Client must identify non-security functions though formal policy or inventory for client-specified access. Client communicates identified privileged/non-privileged account division scheme to S7| S7 configures systems accordingly.,,"Mechanisms exist to enforce a Role-Based Access Control (RBAC) policy over users and resources that applies need-to-know and fine-grained access control for sensitive/regulated data access.; Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to restrict the assignment of privileged accounts to management-approved personnel and/or roles.; Mechanisms exist to prohibit privileged users from using privileged accounts| while performing non-security functions. 
",,
3.1.7,Prevent non-privileged users from executing privileged functions and audit the execution of such functions.,1,0,,RBAC Form| EntraID| S7 Policy| Client Policy; Purview,S7 policy defines privileged functions and non-privileged users for S7 employees| including access related to client systems. The RBAC form specifies what privileged functions are issued to which users. S7 configures S7 admin account permissions on client tenant in a manner that prevents non-privileged users from accessing privileged functions. Client must specify internal policy on privileged functions and non-privileged users. S7 will configure client user accounts on managed systems according to client specification.; S7 will configure Purview with default settings| which includes capturing of execution of standard privileged functions. Client is responsible for performing monitoring of logs.,,Mechanisms exist to utilize the concept of least privilege| allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions. ; Mechanisms exist to restrict the assignment of privileged accounts to management-approved personnel and/or roles.; Mechanisms exist to prevent non-privileged users from executing privileged functions to include disabling| circumventing or altering implemented security safeguards / countermeasures. ; Mechanisms exist to log and review the actions of users and/or services with elevated privileges.,,
3.1.8,Limit unsuccessful logon attempts.,1,0,,EntraID,S7 will configure EntraID to enforce a lockout policy. By default| this policy is set to 3 failed attempts to lock| with a lockout lasting 15 minutes. Client is responsible for codifying this setting into client policy. If client desires a different set of parameters| client must submit an appropriate change ticket.,,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to enforce a limit for consecutive invalid login attempts by a user during an organization-defined time period and automatically locks the account when the maximum number of unsuccessful attempts is exceeded.,,
3.1.9,Provide privacy and security notices consistent with applicable CUI rules.,1,0,,EntraID| InTune| GPOs,"S7 configures login experience to require users to acknowledge an appropriate Privacy and Security Notice during the login process. S7 uses default verbiage| specified below| unless alternative verbiage is offered by the client.
Verbiage:
WARNING: UNAUTHORIZED ACCESS TO THIS SYSTEM IS PROHIBITED. This Information System (IS) contains the property of <Company> and is for authorized use only. This IS may contain federal contract information (FCI) and controlled unclassified information (CUI). By using this IS (which includes any device attached to this IS)| you consent to the following conditions:
●<Company> routinely intercepts and monitors communications on this IS. 
●At any time| <Company> may inspect and seize data stored on this IS. 
●Communications using| or data stored on| this IS are not private| are subject to routine monitoring| interception| and search| and may be disclosed or used for any <Company> authorized purpose. 
●This IS includes security measures (e.g.| authentication and access controls) to protect <Company> interests| not for your personal benefit or privacy. 
●Unauthorized use of this IS is subject to criminal and civil penalties.; Implementation Summary: Summit 7 provides defined privacy and security notices using EntraID and Intune. ",,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to utilize system use notification / logon banners that display an approved system use notification message or banner before granting access to the system that provides cybersecurity & data privacy notices.; Mechanisms exist to configure Microsoft Windows-based systems to display an approved logon banner before granting access to the system that provides cybersecurity & data privacy notices.; Mechanisms exist to utilize a truncated system use notification / logon banner on systems not capable of displaying a logon banner from a centralized source| such as Active Directory.,,
3.1.10,Use session lock with pattern-hiding displays to prevent access and viewing of data after period of inactivity.,1,0,,InTune| EntraID,S7 will configure InTune to enforce a session screen lock after 15 minutes. Client is responsible for codifying this setting into client policy. If client desires a different set of parameters| client must submit an appropriate change ticket.; Summit 7 utilizes Intune policies to enforce session lock with pattern-hiding displays.,,Mechanisms exist to develop| document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards. ; Mechanisms exist to initiate a session lock after an organization-defined time period of inactivity| or upon receiving a request from a user and retain the session lock until the user reestablishes access using established identification and authentication methods.; Mechanisms exist to implement pattern-hiding displays to conceal information previously visible on the display during the session lock. ,,
